zzl6r,r1b5/4Q1k1/p2R1p2/1p2p3/4Pp1q/1P1B1p2/P6P/5K2 b - - 3 34,g7h6 d6f6 h4f6 e7f6,1258,77,93,3278,crushing endgame short,https://lichess.org/03EJgjDd/black#68,
zzl9b,4qrk1/4b2p/3Rb2P/4Q1p1/4P3/2N3P1/P7/2K5 b - - 0 32,e7d6 e5g7,1217,121,100,66,endgame mate mateIn1 oneMove,https://lichess.org/URQPDbRA/black#64,
zzlAo,2r2Bk1/pR3ppp/1b2p3/n2p4/8/2R4P/P4PP1/3B2K1 b - - 0 22,c8c3 b7b8 f7f5 f8b4,1854,75,86,93,crushing discoveredAttack endgame short,https://lichess.org/DnmNwLmC/black#44,
zzlB3,5r2/p5k1/2p5/2b2p2/2B2PK1/2P5/P7/3R4 w - - 0 31,g4g5 c5e7 g5h5 f8h8,901,78,96,471,endgame mate mateIn2 short,https://lichess.org/xRaVTlw3#61,
zzlCv,rn1qkb1r/pp2pppp/2pp4/3nP3/2BP2b1/5N2/PPP2PPP/RNBQ1RK1 b kq - 3 6,d5b6 c4f7 e8f7 f3g5 f7g8 d1g4,1380,75,92,2051,attackingF2F7 attraction crushing discoveredAttack long opening sacrifice,https://lichess.org/HKNhzVns/black#12,Caro-Kann_Defense,Caro-Kann_Defense_Masi_Variation
zzlNH,r1b1r1k1/ppbq2pp/5p2/2pp4/3P4/P1P3QP/2P1BPP1/R1B2RK1 w - - 0 20,c1f4 c7f4 g3f4 e8e2,1144,80,93,1524,advantage middlegame short,https://lichess.org/NnpV1TBw#39,
zzlNM,kr3r2/p1q1p2p/1p1pp3/1B6/4P3/R1P5/1KP2PP1/R7 b - - 3 24,f8f2 b5c6 b8b7 a3a7 a8b8 a7a8,1900,74,84,103,endgame long mate mateIn3 pin queensideAttack,https://lichess.org/HgzSfluz/black#48,
zzlRu,r5k1/4pp1p/B2p2p1/3q4/2p5/1RQ2R2/1P6/2K5 w - - 2 32,a6c4 a8a1 c1c2 d5d1,1226,77,93,2115,endgame mate mateIn2 short,https://lichess.org/BCcUdwbe#63,
zzlTL,2kr4/pp3q1p/2b1pp2/8/4p1nN/1N6/PPPQ1PPP/2K2B1R w - - 0 19,d2c3 g4f2 f1a6 f2h1 c3c6 c8b8,2171,104,84,22,advantage long middlegame,https://lichess.org/IcGQH1S3#37,Queens_Pawn_Game,Queens_Pawn_Game_Mason_Variation
zzlUS,r4rk1/1pp2ppp/p1p1bn2/2b1N3/3qP3/1PN4P/PBPP1PP1/R2QK2R w KQ - 1 10,c3a4 d4f2,1234,77,83,487,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/0T0vCUqx#19,Kings_Knight_Opening,Kings_Knight_Opening_Normal_Variation
